Enfrentamiento_id,Torneo_id,Ronda,Nombre_Enfrentamiento,Numero_Replica,Freestyler_Ganador,Freestyler_Perdedor,Link
VS-2019-14,RB-2019,Semifinal,Aczino vs Valles-T,2,F-86,F-55,https://www.youtube.com/watch?v=QDItRdin0eg
VS-2019-15,RB-2019,Tercer Lugar,Aczino vs SNK,0,F-55,F-120,https://www.youtube.com/watch?v=dptp2KCg2Mo
VS-2019-16,RB-2019,Final,Bnet vs Valles-T,1,F-101,F-86,https://www.youtube.com/watch?v=28FbILWvMyU
VS-2020-01,RB-2020,Octavos,Aczino vs Shield Master,0,F-55,F-112,https://www.youtube.com/watch?v=-gm1JvhsDCc
VS-2020-02,RB-2020,Octavos,Naicen vs SNK,0,F-127,F-120,https://www.youtube.com/watch?v=aogRvnNSOGg
VS-2020-03,RB-2020,Octavos,Skone vs Tata,0,F-81,F-60,https://www.youtube.com/watch?v=AxOJdUicSwk
VS-2020-04,RB-2020,Octavos,Acertijo vs Minos,0,F-125,F-111,https://www.youtube.com/watch?v=Xvd_4Boa7E4
VS-2020-05,RB-2020,Octavos,Exodo Lirical vs Mac,0,F-128,F-126,https://www.youtube.com/watch?v=QyR7g0dP9Fc
VS-2020-06,RB-2020,Octavos,Bnet vs Valles-T,1,F-101,F-86,https://www.youtube.com/watch?v=z7V0WRwuHrM
VS-2020-07,RB-2020,Octavos,Rapder vs Stick,0,F-102,F-66,https://www.youtube.com/watch?v=zv50rTUlOmk
VS-2020-08,RB-2020,Octavos,Elevn vs Yartzi,0,F-124,F-99,https://www.youtube.com/watch?v=Rc1C1K2j63k
VS-2020-09,RB-2020,Cuartos,Aczino vs Naicen,0,F-55,F-127,https://www.youtube.com/watch?v=B1f8xhgtQaw
VS-2020-10,RB-2020,Cuartos,Acertijo vs Skone,1,F-81,F-125,https://www.youtube.com/watch?v=AcSUFyah3co
VS-2020-11,RB-2020,Cuartos,Bnet vs Exodo Lirical,0,F-128,F-101,https://www.youtube.com/watch?v=h5wdAdgFjC4
VS-2020-12,RB-2020,Cuartos,Rapder vs Yartzi,0,F-102,F-124,https://www.youtube.com/watch?v=lAAIGDJ6LIY
VS-2020-13,RB-2020,Semifinal,Aczino vs Skone,1,F-81,F-55,https://www.youtube.com/watch?v=yv8yFhRsWVc
VS-2020-14,RB-2020,Semifinal,Exodo Lirical vs Rapder,2,F-102,F-128,https://www.youtube.com/watch?v=wIcz1_7qx-4
VS-2020-15,RB-2020,Tercer Lugar,Aczino vs Exodo Lirical,0,F-55,F-128,https://www.youtube.com/watch?v=Fwda4AWZ6V4
VS-2020-16,RB-2020,Final,Rapder vs Skone,0,F-102,F-81,https://www.youtube.com/watch?v=oGrcVKNIvAU
VS-2021-01,TP-2021,Cuartos,Aldahir vs Hander,0,F-137,F-140,https://www.youtube.com/watch?v=BmuCkeC_QZA
VS-2021-02,TP-2021,Cuartos,Coloso vs Wolf,0,F-138,F-139,https://www.youtube.com/watch?v=TlXkKqcj00I
VS-2021-03,TP-2021,Cuartos,Imigrante vs Jair Wong,1,F-141,F-77,https://www.youtube.com/watch?v=xv9Yin8pkHU
VS-2021-04,TP-2021,Cuartos,Indico vs Jokker,0,F-117,F-105,https://www.youtube.com/watch?v=KY12tAY6_ug
VS-2021-05,TP-2021,Semifinal,Hander vs Wolf,1,F-138,F-137,https://www.youtube.com/watch?v=orecmaPOTyw
VS-2021-06,TP-2021,Semifinal,Jair Wong vs Jokker,1,F-141,F-117,https://www.youtube.com/watch?v=p9Pf4DeSKRM
VS-2021-07,TP-2021,Tercer Lugar,Hander vs Jokker,0,F-117,F-137,https://www.youtube.com/watch?v=JyRqcaHSEyY
VS-2021-08,TP-2021,Final,Jair Wong vs Wolf,1,F-141,F-138,https://www.youtube.com/watch?v=0y33psysZCI
VS-2021-09,RB-2021,Octavos,Aczino vs P8,0,F-55,F-131,https://www.youtube.com/watch?v=2ONx0ANs_i8
VS-2021-10,RB-2021,Octavos,Basek vs Jair Wong,1,F-141,F-51,https://www.youtube.com/watch?v=H31hirF_XOE
VS-2021-11,RB-2021,Octavos,Klan vs Stick,1,F-66,F-129,https://www.youtube.com/watch?v=k4IeXjhGwFs
